long,lat,bathy
-127.2979167,45.00625,-3049
-127.29375,45.00625,-3050
-127.2895833,45.00625,-3053
-127.2854167,45.00625,-3055
-127.28125,45.00625,-2938
-127.2770833,45.00625,-2919
-127.2729167,45.00625,-2912
-127.26875,45.00625,-2906
-127.2645833,45.00625,-2903
-127.2604167,45.00625,-2899
-127.25625,45.00625,-2896
-127.2520833,45.00625,-2894
-127.2479167,45.00625,-2891
-127.24375,45.00625,-2890
-127.2395833,45.00625,-2888
-127.2354167,45.00625,-2886
-127.23125,45.00625,-2883
-127.2270833,45.00625,-2883
-127.2229167,45.00625,-2883
-127.21875,45.00625,-2881
-127.2145833,45.00625,-2879
-127.2104167,45.00625,-2878
-127.20625,45.00625,-2877
-127.2020833,45.00625,-2876
-127.1979167,45.00625,-2874
-127.19375,45.00625,-2873
-127.1895833,45.00625,-2871
-127.1854167,45.00625,-2869
-127.18125,45.00625,-2867
-127.1770833,45.00625,-2866
-127.1729167,45.00625,-2865
-127.16875,45.00625,-2864
-127.1645833,45.00625,-2862
-127.1604167,45.00625,-2861
-127.15625,45.00625,-2860
-127.1520833,45.00625,-2858
-127.1479167,45.00625,-2857
-127.14375,45.00625,-2856
-127.1395833,45.00625,-2855
-127.1354167,45.00625,-2854
-127.13125,45.00625,-2853
-127.1270833,45.00625,-2852
-127.1229167,45.00625,-2852
-127.11875,45.00625,-2851
-127.1145833,45.00625,-2851
-127.1104167,45.00625,-2851
-127.10625,45.00625,-2850
-127.1020833,45.00625,-2850
-127.0979167,45.00625,-2851
-127.09375,45.00625,-2852
-127.0895833,45.00625,-2856
-127.0854167,45.00625,-2847
-127.08125,45.00625,-2848
-127.0770833,45.00625,-2848
-127.0729167,45.00625,-2848
-127.06875,45.00625,-2849
-127.0645833,45.00625,-2850
-127.0604167,45.00625,-2847
-127.05625,45.00625,-2848
-127.0520833,45.00625,-2848
-127.0479167,45.00625,-2848
-127.04375,45.00625,-2848
-127.0395833,45.00625,-2849
-127.0354167,45.00625,-2850
-127.03125,45.00625,-2849
-127.0270833,45.00625,-2848
-127.0229167,45.00625,-2848
-127.01875,45.00625,-2847
-127.0145833,45.00625,-2848
-127.0104167,45.00625,-2848
-127.00625,45.00625,-2848
-127.0020833,45.00625,-2848
-127.4979167,45.01041667,-2962
-127.49375,45.01041667,-2962
-127.4895833,45.01041667,-2963
-127.4854167,45.01041667,-2965
-127.48125,45.01041667,-2967
-127.4770833,45.01041667,-2967
-127.4729167,45.01041667,-2965
-127.46875,45.01041667,-2965
-127.4645833,45.01041667,-2966
-127.4604167,45.01041667,-2967
-127.45625,45.01041667,-2968
-127.4520833,45.01041667,-2968
-127.4479167,45.01041667,-2969
-127.44375,45.01041667,-2968
-127.4395833,45.01041667,-2968
-127.4354167,45.01041667,-2970
-127.43125,45.01041667,-2971
-127.4270833,45.01041667,-2973
-127.4229167,45.01041667,-2973
-127.41875,45.01041667,-2971
-127.4145833,45.01041667,-2972
-127.4104167,45.01041667,-2972
-127.40625,45.01041667,-2972
-127.4020833,45.01041667,-2969
-127.3979167,45.01041667,-2970
-127.39375,45.01041667,-2968
-127.3895833,45.01041667,-2964
-127.3854167,45.01041667,-2958
-127.38125,45.01041667,-2945
-127.3770833,45.01041667,-2929
-127.3729167,45.01041667,-2914
-127.36875,45.01041667,-2912
-127.3645833,45.01041667,-2907
-127.3604167,45.01041667,-2912
-127.35625,45.01041667,-2910
-127.3520833,45.01041667,-2905
-127.3479167,45.01041667,-2905
-127.34375,45.01041667,-2898
-127.3395833,45.01041667,-2893
-127.3354167,45.01041667,-2892
-127.33125,45.01041667,-2894
-127.3270833,45.01041667,-2903
-127.3229167,45.01041667,-2914
-127.31875,45.01041667,-2928
-127.3145833,45.01041667,-2959
-127.3104167,45.01041667,-2994
-127.30625,45.01041667,-3027
-127.3020833,45.01041667,-3049
-127.2979167,45.01041667,-3050
-127.29375,45.01041667,-3053
-127.2895833,45.01041667,-3054
-127.2854167,45.01041667,-3054
-127.28125,45.01041667,-2985
-127.2770833,45.01041667,-2922
-127.2729167,45.01041667,-2914
-127.26875,45.01041667,-2908
-127.2645833,45.01041667,-2905
-127.2604167,45.01041667,-2901
-127.25625,45.01041667,-2900
-127.2520833,45.01041667,-2898
-127.2479167,45.01041667,-2893
-127.24375,45.01041667,-2891
-127.2395833,45.01041667,-2889
-127.2354167,45.01041667,-2888
-127.23125,45.01041667,-2887
-127.2270833,45.01041667,-2887
-127.2229167,45.01041667,-2887
-127.21875,45.01041667,-2884
-127.2145833,45.01041667,-2882
-127.2104167,45.01041667,-2880
-127.20625,45.01041667,-2879
